Timestamp,Predicted
11/10/2014 16,300.5704920768558
12/10/2014 00,188.86366553344655
12/10/2014 08,77.73953552035982
12/10/2014 16,122.47003213122434
13/10/2014 00,124.84928870987736
13/10/2014 08,241.4550516340781
13/10/2014 16,232.5225254790644
14/10/2014 00,161.69632129128863
14/10/2014 08,273.0396123117766
14/10/2014 16,166.51111567854565
15/10/2014 00,328.8638644413159
15/10/2014 08,74.18351230510362
15/10/2014 16,66.05206423973344
16/10/2014 00,101.701823588041
16/10/2014 08,88.07578012449176
16/10/2014 16,174.07579500227794
17/10/2014 00,290.8308604331314
17/10/2014 08,110.1359662761068
17/10/2014 16,151.2254981876636
18/10/2014 00,167.53884071536413
18/10/2014 08,106.0598593319414
18/10/2014 16,243.8749482950031
19/10/2014 00,188.44729815263457
19/10/2014 08,130.35506686713623
19/10/2014 16,116.29565809906047
20/10/2014 00,189.9420534178608
20/10/2014 08,84.54754384671767
20/10/2014 16,232.3078329835116
21/10/2014 00,183.90360908578236
21/10/2014 08,411.82500131456857
21/10/2014 16,78.17775483944742
22/10/2014 00,105.69051500582869
22/10/2014 08,247.7848593844824
22/10/2014 16,123.56664464003272
23/10/2014 00,205.1576145773909
23/10/2014 08,158.194230171282
23/10/2014 16,184.89635053108836
24/10/2014 00,69.95703631858429
24/10/2014 08,226.44474481457772
24/10/2014 16,260.32713250974626
25/10/2014 00,206.26970739586608
25/10/2014 08,133.22582127265645
25/10/2014 16,112.72868707920011
26/10/2014 00,98.80898121310864
26/10/2014 08,104.727321683431
26/10/2014 16,89.45956673492293
27/10/2014 00,161.66958478833115
27/10/2014 08,155.7397519751193
27/10/2014 16,161.8505236369752
28/10/2014 00,171.50037127868714
28/10/2014 08,138.61903009129333
28/10/2014 16,111.59826270979907
29/10/2014 00,282.85625688919885
29/10/2014 08,44.55507280328512
29/10/2014 16,180.4051548919801
30/10/2014 00,134.4326292044208
30/10/2014 08,164.8835397612354
30/10/2014 16,218.26412156190912
31/10/2014 00,225.383647278178
31/10/2014 08,118.56536218282449
31/10/2014 16,178.05908047908989
01/11/2014 00,92.56235266140912
01/11/2014 08,59.20127935305372
01/11/2014 16,111.42212269001732
02/11/2014 00,203.9569666131582
02/11/2014 08,79.52207821628957
02/11/2014 16,176.67201337071216
03/11/2014 00,152.04208027258457
03/11/2014 08,157.0843640864319
03/11/2014 16,230.03932237580983
04/11/2014 00,221.8622351843524
04/11/2014 08,72.10246529261242
04/11/2014 16,142.96627201020357
05/11/2014 00,135.20958393473092
05/11/2014 08,164.86934856034634
05/11/2014 16,116.85082979034266
06/11/2014 00,171.98948172767112
06/11/2014 08,243.58382126652688
06/11/2014 16,117.95012160676778
07/11/2014 00,155.1347531464425
07/11/2014 08,80.92805555042443
07/11/2014 16,145.5617237617646
08/11/2014 00,184.84652929749325
08/11/2014 08,89.18525003238089
08/11/2014 16,62.36570927602526
09/11/2014 00,267.0610559910636
09/11/2014 08,195.9380475202222
09/11/2014 16,77.02825597977788
10/11/2014 00,248.15151081842876
10/11/2014 08,134.138296808992
10/11/2014 16,87.44393065851554
11/11/2014 00,126.62017762338996
11/11/2014 08,132.7039214885851
11/11/2014 16,180.7143961107165
12/11/2014 00,104.99865682670094
12/11/2014 08,157.12691656875592
12/11/2014 16,220.2763169886142
